Player,Tm,Salary,Cap Hit,Age,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,BLK,HIT,FOW,FOL,FO%,Tm_ANA,Tm_ARI,Tm_BOS,Tm_BUF,Tm_CAR,Tm_CBJ,Tm_CGY,Tm_CHI,Tm_COL,Tm_DAL,Tm_DET,Tm_EDM,Tm_FLA,Tm_LAK,Tm_MIN,Tm_MTL,Tm_NJD,Tm_NSH,Tm_NYI,Tm_NYR,Tm_OTT,Tm_PHI,Tm_PIT,Tm_SEA,Tm_SJS,Tm_STL,Tm_TBL,Tm_TOR,Tm_TOT,Tm_VAN,Tm_VEG,Tm_WPG,Tm_WSH,Pos_C,Pos_D,Pos_LW,Pos_RW,,,
Brock Nelson,NYI,8000000,6000000,30,59,32,17,49,1,33,6.4,23,9,0,5,14,3,0,140,22.9,1045,39,29,394,399,49.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,
Leon Draisaitl,EDM,8000000,8500000,26,70,50,51,101,21,40,12.5,29,20,1,10,35,16,0,246,20.3,1586,23,43,788,680,53.7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,
Victor Hedman,TBL,8000000,7875000,31,68,19,47,66,17,30,11,14,5,0,6,25,22,0,181,10.5,1722,104,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,,
Joshua Morrisey,WPG,8000000,6250000,26,67,11,20,31,-2,56,5.1,5,6,0,3,12,8,0,151,7.3,1583,88,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,,
Aleksander Barkov,FLA,7750000,5900000,26,56,33,39,72,31,12,8.8,19,10,4,4,29,10,0,183,18,1143,37,45,614,474,56.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,
Mats Zuccarello,MIN,7500000,6000000,34,60,20,49,69,20,20,7,14,6,0,1,30,19,0,131,15.3,1118,31,30,19,30,38.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,
Jakub Voracek,CBJ,7500000,8250000,32,66,5,44,49,-13,32,2.7,3,2,0,2,25,19,0,122,4.1,1139,24,23,5,27,15.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,
Patrik Laine,CBJ,7500000,7500000,23,50,25,26,51,-7,20,5.5,21,4,0,7,17,9,0,146,17.1,934,13,31,10,16,38.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,
Brock Boeser,VAN,7500000,5875000,24,64,19,19,38,-7,18,3.5,9,10,0,4,12,6,1,177,10.7,1189,21,30,11,14,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,,
Kyle Connor,WPG,7500000,7142857,25,67,41,41,82,3,4,9.6,31,7,3,7,24,17,0,283,14.5,1465,17,30,1,4,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,,
