Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
504,Patrik Laine\lainepa01,23,CBJ,RW,50,25,26,51,-7,20,5.5,21,4,0,7,17,9,0,146,17.1,934,18:40,13,31,10,16,38.5
505,Maxime Lajoie\lajoima01,24,CAR,D,5,0,0,0,2,0,0.2,0,0,0,0,0,0,0,6,0,63,12:32,5,3,0,0,
506,Juho Lammikko\lammiju01,26,VAN,RW,63,7,8,15,-2,14,0.9,7,0,0,2,8,0,0,55,12.7,757,12:01,42,68,291,291,50
507,Gabriel Landeskog\landega01,29,COL,LW,51,30,29,59,27,78,7.6,23,7,0,5,21,8,0,150,20,1036,20:19,34,94,241,198,54.9
508,Hendrix Lapierre\lapiehe01,19,WSH,C,6,1,0,1,2,2,0.2,1,0,0,0,0,0,0,7,14.3,58,9:35,2,1,6,17,26.1
509,Dylan Larkin\larkidy01,25,DET,C,64,29,35,64,-9,43,6.7,23,6,0,4,28,7,0,190,15.3,1257,19:39,22,62,569,516,52.4
510,Adam Larsson\larssad01,29,SEA,D,69,6,13,19,-21,49,2.5,6,0,0,3,12,1,0,91,6.6,1519,22:01,118,158,0,0,
511,Jacob Larsson\larssja01,24,ANA,D,6,0,1,1,-3,2,0,0,0,0,0,1,0,0,5,0,92,15:16,5,1,0,0,
512,Johan Larsson\larssjo02,29,TOT,LW,30,6,9,15,-2,30,1.1,5,1,0,1,8,1,0,30,20,529,17:37,21,55,194,223,46.5
512,Johan Larsson\larssjo02,29,ARI,LW,29,6,9,15,-3,30,1.1,5,1,0,1,8,1,0,30,20,518,17:52,21,53,194,223,46.5
512,Johan Larsson\larssjo02,29,WSH,LW,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,11,10:48,0,2,0,0,
513,Scott Laughton\laughsc01,27,PHI,C,54,11,17,28,-6,27,2.3,9,0,2,1,16,1,0,94,11.7,889,16:28,44,114,317,316,50.1
514,Jeremy Lauzon\lauzoje01,24,TOT,D,59,2,5,7,-8,69,1.3,2,0,0,0,5,0,0,66,3,1062,18:00,58,198,0,0,
514,Jeremy Lauzon\lauzoje01,24,SEA,D,53,1,5,6,-9,67,1,1,0,0,0,5,0,0,58,1.7,944,17:49,49,176,0,0,
514,Jeremy Lauzon\lauzoje01,24,NSH,D,6,1,0,1,1,2,0.3,1,0,0,0,0,0,0,8,12.5,118,19:38,9,22,0,0,
515,Curtis Lazar\lazarcu01,26,BOS,C,57,7,7,14,-1,12,1,7,0,0,0,6,0,1,74,9.5,674,11:50,41,148,108,110,49.5
516,Brett Leason\leasobr01,22,WSH,RW,36,3,3,6,1,4,0.4,3,0,0,0,3,0,0,45,6.7,322,8:57,14,16,3,5,37.5
517,Nick Leddy\leddyni01,30,TOT,D,62,2,17,19,-34,18,0.6,2,0,0,0,12,5,0,60,3.3,1337,21:34,57,33,0,0,
517,Nick Leddy\leddyni01,30,DET,D,55,1,15,16,-33,16,0.2,1,0,0,0,10,5,0,52,1.9,1185,21:33,49,31,0,0,
517,Nick Leddy\leddyni01,30,STL,D,7,1,2,3,-1,2,0.4,1,0,0,0,2,0,0,8,12.5,152,21:39,8,2,0,0,
518,Anders Lee\leean01,31,NYI,LW,62,25,16,41,-5,28,4.8,17,8,0,2,12,4,0,129,19.4,1031,16:38,21,74,63,66,48.8
519,Artturi Lehkonen\lehkoar01,26,TOT,LW,61,13,16,29,0,14,2.7,10,1,2,1,16,0,0,120,10.8,902,14:47,26,63,8,15,34.8
519,Artturi Lehkonen\lehkoar01,26,MTL,LW,58,13,16,29,0,14,2.8,10,1,2,1,16,0,0,110,11.8,854,14:43,26,60,8,15,34.8
519,Artturi Lehkonen\lehkoar01,26,COL,LW,3,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,10,0,48,15:58,0,3,0,0,
520,Josh Leivo\leivojo01,28,CAR,LW,7,1,2,3,1,2,0.3,1,0,0,0,2,0,0,10,10,65,9:14,1,4,0,0,
521,Brendan Lemieux\lemiebr01,25,LAK,LW,44,8,3,11,5,86,1.4,8,0,0,2,3,0,0,63,12.7,485,11:01,15,108,11,12,47.8
522,John Leonard\leonajo01,23,SJS,LW,13,1,1,2,-5,0,-0.1,1,0,0,0,0,1,0,25,4,152,11:43,7,13,1,1,50
523,Jake Leschyshyn\leschja01,22,VEG,C,34,1,4,5,-1,6,-0.1,1,0,0,0,4,0,0,28,3.6,385,11:20,23,32,102,128,44.3
524,Kris Letang\letankr01,34,PIT,D,66,7,53,60,21,45,9.7,5,2,0,2,33,20,0,182,3.8,1697,25:43:00,110,145,0,0,
525,Vinni Lettieri\lettivi01,26,ANA,C,27,5,3,8,-9,4,0.5,3,2,0,0,0,3,0,45,11.1,338,12:32,14,32,12,11,52.2
526,Tyler Lewington\lewinty01,27,BOS,D,2,0,0,0,-1,7,0,0,0,0,0,0,0,0,2,0,25,12:27,2,1,0,0,
527,Trevor Lewis\lewistr01,35,CGY,C,68,4,9,13,-4,10,0,3,0,1,0,8,1,0,91,4.4,872,12:50,36,153,53,80,39.8
528,Timothy Liljegren\liljeti01,22,TOR,D,50,3,17,20,11,12,3.4,2,1,0,0,17,0,0,64,4.7,800,16:00,52,62,0,0,
529,Kole Lind\lindko01,23,SEA,RW,13,1,4,5,0,8,0.4,1,0,0,0,4,0,0,14,7.1,138,10:39,3,11,3,5,37.5
530,Oskar Lindblom\lindbos01,25,PHI,LW,67,11,13,24,-4,22,1.9,11,0,0,1,12,1,0,111,9.9,952,14:12,45,67,7,12,36.8
531,Petteri Lindbohm\lindbpe02,28,FLA,D,5,0,0,0,-1,5,-0.1,0,0,0,0,0,0,0,1,0,65,13:04,5,16,0,0,
532,Esa Lindell\lindees01,27,DAL,D,65,4,19,23,5,6,4.9,3,0,1,0,15,3,1,123,3.3,1453,22:21,133,102,0,1,0
533,Ryan Lindgren\lindgry01,23,NYR,D,67,4,9,13,13,46,4.3,4,0,0,1,9,0,0,62,6.5,1353,20:11,126,115,0,0,
534,Elias Lindholm\lindhel01,27,CGY,C,68,34,35,69,46,16,9.4,24,9,1,7,25,9,1,188,18.1,1352,19:53,41,49,694,612,53.1
535,Hampus Lindholm\lindhha01,28,TOT,D,66,5,20,25,4,44,5.1,4,1,0,1,15,4,1,130,3.8,1489,22:34,83,64,0,0,
535,Hampus Lindholm\lindhha01,28,ANA,D,61,5,17,22,0,42,4.4,4,1,0,1,13,3,1,119,4.2,1375,22:32,77,55,0,0,
535,Hampus Lindholm\lindhha01,28,BOS,D,5,0,3,3,4,2,0.7,0,0,0,0,2,1,0,11,0,114,22:47,6,9,0,0,
536,Gustav Lindstrom\lindsgu01,23,DET,D,51,1,11,12,-11,20,1.2,1,0,0,0,11,0,0,37,2.7,828,16:14,62,41,0,0,
537,Blake Lizotte\lizotbl01,24,LAK,C,61,8,11,19,11,28,2,7,0,1,1,9,0,2,76,10.5,723,11:51,11,63,276,238,53.7
538,Jon Lizotte\lizotjo01,27,MIN,D,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,15,14:43,4,3,0,0,
539,William Lockwood\lockwwi01,23,VAN,RW,4,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,5,0,35,8:42,1,14,0,0,
540,Ryan Lomberg\lombery01,27,FLA,LW,48,9,8,17,8,63,1.6,9,0,0,1,7,0,1,85,10.6,553,11:31,7,113,1,5,16.7
541,Steven Lorentz\lorenst01,25,CAR,C,59,7,5,12,-1,8,0.8,7,0,0,1,5,0,0,68,10.3,654,11:05,10,58,45,54,45.5
542,Adam Lowry\lowryad01,28,WPG,LW,67,11,7,18,3,52,1.2,8,0,3,0,3,2,2,89,12.4,1029,15:21,34,205,457,411,52.6
543,Milan Lucic\lucicmi01,33,CGY,LW,68,10,10,20,-5,73,1.3,8,2,0,0,9,1,0,82,12.2,854,12:34,20,165,11,10,52.4
544,Matt Luff\luffma01,24,NSH,RW,16,3,3,6,4,2,0.8,3,0,0,1,3,0,0,17,17.6,147,9:12,1,23,2,0,100
545,Anton Lundell\lundean01,20,FLA,C,54,15,24,39,31,16,4.5,14,1,0,3,19,3,2,100,15,867,16:04,47,26,298,361,45.2
546,Isac Lundestrom\lundeis01,22,ANA,C,69,16,13,29,0,8,2.8,12,0,4,3,13,0,0,75,21.3,1074,15:34,50,31,354,428,45.3
547,Nils Lundkvist\lundkni01,21,NYR,D,25,1,3,4,4,0,1.2,0,1,0,0,2,1,0,32,3.1,348,13:56,15,15,0,0,
548,Eetu Luostarinen\luostee01,23,FLA,C,65,9,12,21,0,10,1,7,0,2,4,11,0,1,74,12.2,878,13:31,43,91,278,407,40.6
549,Ilya Lyubushkin\lyubuil01,27,TOT,D,64,0,10,10,-3,38,1.7,0,0,0,0,9,0,1,43,0,1128,17:37,75,151,0,0,
549,Ilya Lyubushkin\lyubuil01,27,ARI,D,46,0,9,9,-6,26,1.3,0,0,0,0,8,0,1,33,0,833,18:06,60,94,0,0,
549,Ilya Lyubushkin\lyubuil01,27,TOR,D,18,0,1,1,3,12,0.5,0,0,0,0,1,0,0,10,0,295,16:23,15,57,0,0,
550,Olli Maatta\maattol01,27,LAK,D,56,1,6,7,17,10,3.1,1,0,0,0,6,0,0,56,1.8,1028,18:22,82,57,0,0,
551,Matias Maccelli\maccema01,21,ARI,LW,16,1,4,5,-4,4,0.1,1,0,0,0,4,0,0,13,7.7,221,13:50,6,7,1,0,100
552,Kurtis MacDermid\macdeku01,27,COL,D,53,2,3,5,3,72,1.1,2,0,0,0,3,0,0,43,4.7,395,7:27,22,96,0,0,
553,Jacob MacDonald\macdoja02,28,COL,D,7,0,0,0,-2,2,-0.1,0,0,0,0,0,0,0,11,0,61,8:43,3,8,0,0,
554,Mackenzie MacEachern\maceama01,27,STL,LW,11,0,2,2,0,4,0,0,0,0,0,2,0,0,11,0,88,7:57,0,14,0,0,
555,Zack MacEwen\macewza01,25,PHI,C,66,2,5,7,-14,101,-0.6,2,0,0,1,5,0,0,71,2.8,634,9:36,32,139,13,16,44.8
556,Ryan MacInnis\macinry01,25,BUF,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,10:00,0,0,0,0,
557,Nathan MacKinnon\mackina01,26,COL,C,53,22,50,72,15,34,7.5,16,6,0,5,32,18,0,247,8.9,1119,21:06,35,48,305,358,46
558,Josh Mahura\mahurjo01,23,ANA,D,31,1,3,4,-10,10,0.3,1,0,0,0,3,0,0,23,4.3,419,13:31,41,49,0,0,
559,Cale Makar\makarca01,23,COL,D,65,24,51,75,39,20,13.2,18,6,0,5,28,23,0,199,12.1,1664,25:36:00,90,78,0,0,
560,Beck Malenstyn\malenbe01,23,WSH,LW,12,1,0,1,2,9,0.1,1,0,0,0,0,0,0,10,10,109,9:03,7,34,1,6,14.3
561,Evgeni Malkin\malkiev01,35,PIT,C,33,17,18,35,-5,18,3.8,9,8,0,5,7,11,0,103,16.5,607,18:23,12,15,131,169,43.7
562,Brad Malone\malonbr01,32,EDM,C,8,1,1,2,-2,2,0.1,1,0,0,0,1,0,0,7,14.3,66,8:17,1,22,13,14,48.1
563,Jeff Malott\malotje01,25,WPG,F,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,4,4:06,0,3,0,0,
564,Mikhail Maltsev\maltsmi01,23,COL,LW,18,0,0,0,-5,2,-0.5,0,0,0,0,0,0,0,23,0,145,8:04,2,31,44,32,57.9
565,Maxim Mamin\maminma01,27,FLA,C,33,5,5,10,9,11,0.9,5,0,0,0,5,0,0,37,13.5,389,11:48,16,47,0,0,
566,Andrew Mangiapane\mangian01,25,CGY,LW,68,30,15,45,17,30,6.1,21,7,2,7,12,2,1,158,19,1078,15:51,30,58,21,25,45.7
567,Josh Manson\mansojo01,30,TOT,D,54,4,6,10,-3,57,2.3,4,0,0,0,6,0,0,74,5.4,1037,19:12,55,146,0,0,
567,Josh Manson\mansojo01,30,ANA,D,45,4,5,9,0,53,2.4,4,0,0,0,5,0,0,61,6.6,889,19:45,45,116,0,0,
567,Josh Manson\mansojo01,30,COL,D,9,0,1,1,-3,4,-0.1,0,0,0,0,1,0,0,13,0,149,16:31,10,30,0,0,
568,Anthony Mantha\manthan01,27,WSH,RW,24,7,7,14,-2,12,1.4,7,0,0,0,5,2,0,58,12.1,366,15:15,14,26,0,0,
569,Brad Marchand\marchbr03,33,BOS,LW,57,31,40,71,12,81,8.6,22,7,2,6,21,19,0,196,15.8,1094,19:11,17,64,10,17,37
570,Jonathan Marchessault\audymjo01,31,VEG,C,65,28,30,58,2,34,6.7,23,5,0,3,16,14,0,226,12.4,1146,17:38,12,50,38,51,42.7
571,Mason Marchment\marchma01,26,FLA,F,44,15,25,40,26,37,4.9,14,1,0,1,24,1,0,104,14.4,617,14:02,7,92,7,27,20.6
572,John Marino\marinjo01,24,PIT,D,70,1,23,24,-2,21,3.7,1,0,0,0,19,2,2,77,1.3,1452,20:45,70,65,0,0,
573,Mitch Marner\marnemi01,24,TOR,RW,59,28,53,81,18,12,9,21,5,2,5,35,17,1,178,15.7,1224,20:44,27,48,4,6,40
574,Cooper Marody\marodco01,25,EDM,C,1,0,1,1,0,0,0.1,0,0,0,0,1,0,0,1,0,6,6:04,0,0,0,0,
575,Pat Maroon\maroopa01,33,TBL,LW,67,9,13,22,14,97,2.1,6,3,0,0,11,2,0,88,10.2,840,12:33,7,131,11,13,45.8
576,Matt Martin\martima02,32,NYI,LW,57,3,2,5,-1,57,-0.2,3,0,0,0,2,0,0,54,5.6,653,11:28,23,197,7,8,46.7
577,Alec Martinez\martial01,34,VEG,D,15,0,4,4,5,4,1,0,0,0,0,4,0,0,15,0,290,19:21,45,14,0,0,
578,Jordan Martinook\martijo01,29,CAR,LW,46,3,7,10,2,16,0.5,3,0,0,1,7,0,0,54,5.6,515,11:11,10,62,12,16,42.9
579,Mike Matheson\mathemi01,27,PIT,D,62,10,17,27,7,22,5.2,10,0,0,5,15,2,0,112,8.9,1157,18:40,66,86,0,0,
580,Stefan Matteau\mattest02,27,COL,LW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,3:39,0,0,0,0,
581,Auston Matthews\matthau01,24,TOR,C,63,51,37,88,11,14,11.5,37,14,0,7,26,11,0,287,17.8,1288,20:26,50,55,598,444,57.4
582,Scott Mayfield\mayfisc01,29,NYI,D,61,3,15,18,-5,55,3.3,3,0,0,2,14,0,1,80,3.8,1206,19:47,109,77,0,0,
583,Gerald Mayhew\mayhege01,29,TOT,F,32,8,0,8,-7,14,0.7,7,1,0,0,0,0,0,43,18.6,415,12:57,26,49,2,4,33.3
583,Gerald Mayhew\mayhege01,29,PHI,F,25,6,0,6,-5,10,0.5,5,1,0,0,0,0,0,31,19.4,304,12:09,17,37,2,3,40
583,Gerald Mayhew\mayhege01,29,ANA,F,7,2,0,2,-2,4,0.2,2,0,0,0,0,0,0,12,16.7,111,15:49,9,12,0,1,0
584,Dysin Mayo\mayody01,25,ARI,D,60,4,8,12,-8,23,2.2,4,0,0,0,8,0,0,69,5.8,1257,20:57,120,109,0,0,
585,Charlie McAvoy\mcavoch01,24,BOS,D,65,8,39,47,18,54,8.4,3,4,1,3,22,17,0,131,6.1,1595,24:33:00,107,130,0,0,
586,Jake McCabe\mccabja01,28,CHI,D,63,3,15,18,-23,21,2,3,0,0,0,15,0,0,64,4.7,1283,20:22,143,139,0,0,
587,Jared McCann\mccanja01,25,SEA,C,61,25,15,40,-24,17,4.1,16,8,1,1,10,5,0,162,15.4,983,16:06,22,58,215,261,45.2
588,Michael McCarron\mccarmi01,26,NSH,RW,45,7,7,14,13,65,1.7,6,0,1,2,6,1,0,48,14.6,471,10:28,30,108,152,144,51.4
589,Ben McCartney\mccarbe02,20,ARI,F,2,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,28,14:03,0,7,0,1,0
590,Max McCormick\mccorma01,29,SEA,LW,10,0,0,0,1,10,-0.1,0,0,0,0,0,0,0,8,0,81,8:06,3,11,2,2,50
591,Connor McDavid\mcdavco01,25,EDM,C,69,40,65,105,21,41,12,31,9,0,8,34,30,1,278,14.4,1530,22:10,23,63,474,409,53.7
592,Ryan McDonagh\mcdonry01,32,TBL,D,60,3,18,21,7,16,4,3,0,0,0,17,1,0,75,4,1356,22:36,116,82,0,1,0
593,Brock McGinn\mcginbr01,27,PIT,LW,56,11,7,18,-1,10,1.4,11,0,0,2,7,0,0,91,12.1,842,15:02,44,85,15,28,34.9
594,Greg McKegg\mckeggr01,29,NYR,C,41,2,3,5,-10,6,-0.4,2,0,0,0,2,0,1,23,8.7,446,10:52,22,48,71,88,44.7
595,Marc McLaughlin\mclauma01,22,BOS,F,1,1,0,1,1,0,0.2,1,0,0,0,0,0,0,3,33.3,13,13:01,0,1,0,0,
596,Michael McLeod\mcleomi01,23,NJD,C,64,6,9,15,-16,44,0,6,0,0,0,8,0,1,72,8.3,882,13:47,28,117,530,398,57.1
597,Ryan McLeod\mcleory01,22,EDM,C,59,8,10,18,-5,12,1,7,1,0,1,7,3,0,69,11.6,754,12:47,20,16,206,226,47.7
598,Connor McMichael\mcmicco01,21,WSH,C,63,9,9,18,-2,10,1.5,9,0,0,0,9,0,0,98,9.2,661,10:30,19,40,128,177,42
599,Brayden McNabb\mcnabbr01,31,VEG,D,58,2,10,12,8,36,2.9,2,0,0,0,9,0,1,65,3.1,1141,19:41,154,121,0,0,
600,Mason Mctavish\mctavma01,19,ANA,C,9,2,1,3,3,2,0.4,2,0,0,1,0,1,0,12,16.7,118,13:05,6,8,0,3,0
601,Jaycob Megna\megnaja02,29,SJS,D,31,1,2,3,-1,12,1.2,1,0,0,0,2,0,0,28,3.6,579,18:41,65,49,0,0,
602,Jayson Megna\megnaja01,31,COL,C,20,0,3,3,-2,4,-0.2,0,0,0,0,3,0,0,19,0,206,10:18,9,27,56,60,48.3
603,Timo Meier\meierti01,25,SJS,RW,63,31,36,67,3,34,8.1,19,12,0,8,32,4,0,262,11.8,1205,19:07,41,125,14,17,45.2
604,Nicolas Meloche\melocni01,24,SJS,D,38,2,4,6,-12,26,0.9,2,0,0,1,4,0,0,27,7.4,629,16:33,42,117,0,0,
605,Dawson Mercer\merceda01,20,NJD,C,69,16,24,40,-8,24,3.3,13,2,1,2,20,3,1,130,12.3,1139,16:31,30,21,179,328,35.3
606,Nicholas Merkley\merklni01,24,SJS,RW,9,1,2,3,-2,0,0.2,1,0,0,0,1,1,0,7,14.3,112,12:25,2,9,6,5,54.5
607,Ryan Merkley\merklry01,21,SJS,D,28,1,4,5,-4,8,1,1,0,0,0,2,2,0,26,3.8,439,15:41,14,11,0,0,
608,Dakota Mermis\mermida01,28,MIN,D,2,0,0,0,2,0,0.1,0,0,0,0,0,0,0,1,0,28,13:54,1,3,0,0,
609,Jonathon Merrill\merrijo01,29,MIN,D,63,4,14,18,15,20,3.3,4,0,0,0,14,0,0,56,7.1,1077,17:05,103,41,0,0,
610,Victor Mete\metevi01,23,OTT,D,34,0,7,7,-18,4,0,0,0,0,0,6,1,0,22,0,509,14:58,37,12,0,0,
611,Jacob Middleton\middlja01,26,TOT,D,52,3,6,9,5,73,2.9,3,0,0,0,4,1,1,58,5.2,976,18:46,103,101,0,0,
611,Jacob Middleton\middlja01,26,SJS,D,45,3,6,9,3,69,2.7,3,0,0,0,4,1,1,51,5.9,857,19:03,89,89,0,0,
611,Jacob Middleton\middlja01,26,MIN,D,7,0,0,0,2,4,0.2,0,0,0,0,0,0,0,7,0,119,17:02,14,12,0,0,
612,Ilya Mikheyev\mikheil01,27,TOR,F,39,15,7,22,12,18,3,9,2,4,4,6,1,0,113,13.3,585,15:00,12,29,0,0,
613,Niko Mikkola\mikkoni01,25,STL,D,51,3,8,11,-6,51,1.4,2,0,1,0,8,0,0,56,5.4,879,17:14,77,104,0,0,
614,Sonny Milano\milanso01,25,ANA,LW,55,12,18,30,-10,10,2.5,7,5,0,2,14,4,0,83,14.5,847,15:24,14,20,0,1,0
615,Colin Miller\milleco02,29,BUF,D,36,2,12,14,-1,21,2.3,2,0,0,0,9,3,0,46,4.3,689,19:08,40,45,0,0,
616,J.T. Miller\millejt01,28,VAN,C,68,29,53,82,5,39,8.9,22,7,0,6,25,26,2,181,16,1427,21:00,46,152,544,478,53.2
617,K'Andre Miller\milleka01,22,NYR,D,70,6,10,16,16,20,5.1,5,1,0,2,10,0,0,83,7.2,1438,20:32,79,121,0,0,
618,Daniil Miromanov\miromda01,24,VEG,D,11,0,1,1,0,2,0.2,0,0,0,0,1,0,0,15,0,108,9:47,6,5,0,0,
619,Ian Mitchell\mitchia01,23,CHI,D,8,0,1,1,-3,0,0,0,0,0,0,0,1,0,2,0,95,11:56,9,2,0,0,
620,Casey Mittelstadt\mitteca01,23,BUF,C,28,3,11,14,-13,2,0.5,2,1,0,0,6,5,0,54,5.6,450,16:05,10,9,146,177,45.2
621,Sean Monahan\monahse01,27,CGY,C,65,8,15,23,-15,24,0.9,3,5,0,2,7,8,0,111,7.2,914,14:04,24,59,414,365,53.1
622,Brandon Montour\montobr01,27,FLA,D,68,9,19,28,9,38,4,8,1,0,0,12,7,0,133,6.8,1183,17:24,53,43,0,0,
623,John Moore\moorejo01,31,BOS,D,7,0,1,1,2,4,0.4,0,0,0,0,0,0,1,7,0,123,17:34,11,9,0,0,
624,Trevor Moore\mooretr01,26,LAK,LW,71,13,28,41,17,16,4.4,8,1,4,1,27,1,0,174,7.5,1100,15:30,26,64,27,37,42.2
625,Josh Morrissey\morrijo04,26,WPG,D,67,11,20,31,-2,56,5.1,5,6,0,3,12,8,0,151,7.3,1583,23:38,88,132,0,0,
626,Janis Moser\moserja01,21,ARI,D,33,3,9,12,-1,12,2,2,1,0,1,9,0,0,29,10.3,603,18:17,36,25,0,0,
627,Tyler Motte\mottety01,26,TOT,C,56,7,8,15,2,22,1,6,0,1,1,8,0,0,98,7.1,788,14:04,56,111,9,8,52.9
627,Tyler Motte\mottety01,26,VAN,C,49,7,8,15,3,22,1.2,6,0,1,1,8,0,0,83,8.4,700,14:17,51,90,6,6,50
627,Tyler Motte\mottety01,26,NYR,C,7,0,0,0,-1,0,-0.2,0,0,0,0,0,0,0,15,0,88,12:38,5,21,3,2,60
628,Jacob Moverare\moverja01,23,LAK,D,14,0,1,1,2,2,0.5,0,0,0,0,1,0,0,14,0,233,16:38,14,13,0,0,
629,Connor Murphy\murphco02,28,CHI,D,57,4,6,10,-14,47,1.9,4,0,0,1,6,0,0,71,5.6,1240,21:45,150,130,0,0,
630,Brett Murray\murrabr02,23,BUF,LW,19,2,4,6,-3,23,0.3,2,0,0,0,3,1,0,14,14.3,247,12:59,2,17,0,0,
631,Ryan Murray\murrary01,28,COL,D,37,0,4,4,-3,2,0.4,0,0,0,0,3,0,1,26,0,521,14:05,41,32,0,0,
632,Jake Muzzin\muzzija01,32,TOR,D,41,2,10,12,-8,12,1.2,2,0,0,0,9,0,1,61,3.3,861,21:00,53,84,0,0,
633,Philippe Myers\myersph01,25,NSH,D,27,1,3,4,5,12,1.1,1,0,0,0,3,0,0,28,3.6,402,14:53,17,50,0,0,
634,Tyler Myers\myersty01,31,VAN,D,70,1,14,15,11,54,4.1,1,0,0,0,13,1,0,109,0.9,1555,22:13,135,127,0,0,
635,Vladislav Namestnikov\namesvl01,29,TOT,C,66,14,13,27,0,41,2.4,13,0,1,0,13,0,0,86,16.3,987,14:57,32,49,14,14,50
635,Vladislav Namestnikov\namesvl01,29,DET,C,60,13,12,25,1,34,2.3,12,0,1,0,12,0,0,81,16,914,15:14,32,43,10,10,50
635,Vladislav Namestnikov\namesvl01,29,DAL,C,6,1,1,2,-1,7,0.1,1,0,0,0,1,0,0,5,20,73,12:07,0,6,4,4,50
636,Riley Nash\nashri02,32,TOT,C,49,0,4,4,-5,10,-0.7,0,0,0,0,4,0,0,36,0,560,11:26,17,46,207,190,52.1
636,Riley Nash\nashri02,32,ARI,C,24,0,4,4,-3,4,-0.2,0,0,0,0,4,0,0,20,0,314,13:05,9,25,149,139,51.7
636,Riley Nash\nashri02,32,WPG,C,15,0,0,0,-1,4,-0.3,0,0,0,0,0,0,0,7,0,132,8:49,5,11,21,18,53.8
636,Riley Nash\nashri02,32,TBL,C,10,0,0,0,-1,2,-0.2,0,0,0,0,0,0,0,9,0,114,11:22,3,10,37,33,52.9
637,James Neal\nealja01,34,STL,LW,19,2,2,4,-1,0,0.1,1,1,0,1,1,1,0,31,6.5,227,11:58,3,17,0,2,0
638,Martin Necas\necasma01,23,CAR,C,65,13,22,35,5,24,3.1,10,2,1,6,20,2,0,125,10.4,1056,16:15,17,50,30,39,43.5
639,Jake Neighbours\neighja01,19,STL,LW,9,1,1,2,-2,2,0.1,1,0,0,1,1,0,0,8,12.5,84,9:21,1,10,1,2,33.3
640,Brock Nelson\nelsobr01,30,NYI,C,59,32,17,49,1,33,6.4,23,9,0,5,14,3,0,140,22.9,1045,17:42,39,29,394,399,49.7
641,Patrik Nemeth\nemetpa01,29,NYR,D,56,2,3,5,-10,26,1.1,2,0,0,1,3,0,0,49,4.1,938,16:45,89,103,0,0,
642,Alex Newhook\newhoal01,21,COL,C,59,12,13,25,6,12,2.3,9,3,0,4,11,2,0,99,12.1,808,13:42,25,33,124,240,34.1
643,Valeri Nichushkin\nichuva01,26,COL,RW,51,19,21,40,19,12,4.6,12,5,2,5,17,4,0,141,13.5,950,18:37,24,75,0,5,0
644,Nino Niederreiter\niedeni01,29,CAR,RW,62,21,14,35,18,20,4.6,17,4,0,4,13,1,0,120,17.5,913,14:43,14,96,11,18,37.9
645,Markus Niemeläinen\niemema01,23,EDM,D,20,0,1,1,-5,4,-0.1,0,0,0,0,1,0,0,12,0,264,13:12,19,82,0,0,
646,Matthew Nieto\nietoma01,29,SJS,LW,56,5,7,12,-20,13,-0.1,5,0,0,0,7,0,0,57,8.8,790,14:07,39,79,2,11,15.4
647,Sami Niku\nikusa01,25,MTL,D,13,0,6,6,3,2,1,0,0,0,0,5,1,0,14,0,199,15:17,17,6,0,0,
648,Stefan Noesen\noesest01,28,CAR,RW,2,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,29,14:20,0,5,0,0,
649,Mattias Norlinder\norlima01,21,MTL,D,6,0,1,1,2,2,0.3,0,0,0,0,1,0,0,2,0,74,12:18,3,4,0,0,
650,Joshua Norris\norrijo01,22,OTT,C,52,30,13,43,-9,12,5.6,15,15,0,8,10,3,0,134,22.4,956,18:23,39,64,420,403,51
651,Tomas Nosek\nosekto01,29,BOS,C,62,3,12,15,-9,26,0.1,3,0,0,1,10,0,2,62,4.8,840,13:33,26,67,307,276,52.7
652,Thomas Novak\novakth01,24,NSH,C,27,1,6,7,-4,2,0.1,0,1,0,0,3,3,0,25,4,318,11:48,6,4,62,79,44
653,Ryan Nugent-Hopkins\nugenry01,28,EDM,C,51,9,34,43,4,10,3.4,7,1,1,1,13,19,2,129,7,999,19:36,26,38,130,196,39.9
654,Darnell Nurse\nurseda01,26,EDM,D,63,8,23,31,14,50,5.6,7,0,1,0,17,6,0,184,4.3,1604,25:28:00,118,179,0,0,
655,Markus Nutivaara\nutivma01,27,FLA,D,1,0,1,1,0,0,0.1,0,0,0,0,1,0,0,0,,7,7:01,0,1,0,0,
656,William Nylander\nylanwi01,25,TOR,C,68,26,38,64,-15,12,5.9,16,10,0,5,22,16,0,217,12,1240,18:15,24,16,20,19,51.3
657,Gustav Nyquist\nyquigu01,32,CBJ,RW,69,17,24,41,-13,20,3,10,3,4,0,21,3,0,98,17.3,1200,17:24,44,35,12,15,44.4
658,Liam O'Brien\obrieli01,27,ARI,C,37,2,1,3,1,106,-0.1,2,0,0,0,1,0,0,33,6.1,349,9:25,10,131,5,5,50
