Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
418,Erik Johnson\johnser01,33,COL,D,69,6,15,21,19,22,4.5,5,0,1,1,13,1,1,123,4.9,1198,17:22,117,148,0,0,
419,Jack Johnson\johnsja02,35,COL,D,65,1,7,8,8,40,1.9,1,0,0,0,6,0,1,48,2.1,1078,16:35,63,79,0,0,
420,Reese Johnson\johnsre01,23,CHI,F,25,1,4,5,-8,14,-0.1,1,0,0,0,4,0,0,16,6.3,253,10:06,10,96,56,58,49.1
421,Tyler Johnson\johnsty01,31,CHI,C,17,1,2,3,-9,10,-0.2,1,0,0,0,0,2,0,19,5.3,214,12:34,5,25,26,18,59.1
422,Andreas Johnsson\johnsan01,27,NJD,LW,62,12,21,33,4,28,3.1,11,1,0,0,21,0,0,108,11.1,896,14:27,18,57,4,10,28.6
423,Ross Johnston\johnsro02,27,NYI,LW,21,1,5,6,2,23,0.5,1,0,0,0,5,0,0,5,20,213,10:10,9,54,0,1,0
424,Henri Jokiharju\jokihhe01,22,BUF,D,48,3,12,15,-4,16,2.6,3,0,0,0,10,2,0,61,4.9,1047,21:48,47,54,0,0,
425,Ben Jones\jonesbe01,22,VEG,F,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,16,8:03,1,4,0,0,
426,Caleb Jones\jonesca01,24,CHI,D,45,4,9,13,2,14,2.8,4,0,0,1,8,1,0,47,8.5,750,16:41,52,71,0,0,
427,Max Jones\jonesma03,23,ANA,LW,2,0,0,0,-1,15,-0.1,0,0,0,0,0,0,0,2,0,20,9:54,0,2,1,1,50
428,Seth Jones\jonesse01,27,CHI,D,66,5,42,47,-33,26,4.8,5,0,0,0,23,18,1,165,3,1724,26:08:00,138,82,0,0,
429,Zachary Jones\jonesza01,21,NYR,D,11,0,2,2,-5,0,0,0,0,0,0,2,0,0,7,0,159,14:28,12,4,0,0,
430,Axel Jonsson Fjällby\jonssax01,23,WSH,LW,21,1,2,3,2,2,0.1,1,0,0,0,2,0,0,26,3.8,237,11:18,8,15,1,3,25
431,Mathieu Joseph\josepma01,24,TOT,RW,64,11,15,26,10,27,2.5,9,0,2,3,13,0,2,80,13.8,891,13:55,23,99,19,27,41.3
431,Mathieu Joseph\josepma01,24,TBL,RW,58,8,10,18,4,23,1.3,6,0,2,2,9,0,1,67,11.9,795,13:42,20,85,18,26,40.9
431,Mathieu Joseph\josepma01,24,OTT,RW,6,3,5,8,6,4,1.2,3,0,0,1,4,0,1,13,23.1,97,16:06,3,14,1,1,50
432,Pierre-Olivier Joseph\joseppi01,22,PIT,D,4,0,0,0,-2,2,-0.1,0,0,0,0,0,0,0,7,0,73,18:14,4,6,0,0,
433,Dakota Joshua\joshuda01,25,STL,C,25,2,3,5,4,14,0.5,2,0,0,2,3,0,0,19,10.5,205,8:12,9,64,39,33,54.2
434,Roman Josi\josiro01,31,NSH,D,66,18,63,81,22,40,12.3,10,8,0,2,40,23,0,233,7.7,1672,25:20:00,109,48,0,0,
