,Player,Tm,Salary,Cap Hit,Rk,Age,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,BLK,HIT,FOW,FOL,FO%,Pos_C,Pos_D,Pos_F,Pos_LW,Pos_RW,Pos_W,Tm_ANA,Tm_ARI,Tm_BOS,Tm_BUF,Tm_CAR,Tm_CBJ,Tm_CGY,Tm_CHI,Tm_COL,Tm_DAL,Tm_DET,Tm_EDM,Tm_FLA,Tm_LAK,Tm_MIN,Tm_MTL,Tm_NJD,Tm_NSH,Tm_NYI,Tm_NYR,Tm_OTT,Tm_PHI,Tm_PIT,Tm_SEA,Tm_SJS,Tm_STL,Tm_TBL,Tm_TOR,Tm_TOT,Tm_VAN,Tm_VEG,Tm_WPG,Tm_WSH
10,Brayden Point,TBL,"9,000,000","6,750,000",717.0,25.0,54.0,27.0,27.0,54.0,-3.0,27.0,6.0,18.0,9.0,0.0,4.0,17.0,10.0,0.0,152.0,17.8,1056.0,16.0,58.0,287.0,281.0,50.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Matthew Tkachuk,CGY,"9,000,000","7,000,000",907.0,24.0,68.0,32.0,52.0,84.0,40.0,54.0,10.7,22.0,10.0,0.0,6.0,36.0,16.0,0.0,218.0,14.7,1208.0,14.0,75.0,19.0,19.0,50.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Ryan McDonagh,TBL,"8,400,000","6,750,000",592.0,32.0,60.0,3.0,18.0,21.0,7.0,16.0,4.0,3.0,0.0,0.0,0.0,17.0,1.0,0.0,75.0,4.0,1356.0,116.0,82.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Cale Makar,COL,"8,000,000","9,000,000",559.0,23.0,65.0,24.0,51.0,75.0,39.0,20.0,13.2,18.0,6.0,0.0,5.0,28.0,23.0,0.0,199.0,12.1,1664.0,90.0,78.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Joe Pavelski,DAL,"8,000,000","7,000,000",685.0,37.0,68.0,25.0,43.0,68.0,11.0,14.0,7.6,14.0,11.0,0.0,2.0,34.0,9.0,0.0,188.0,13.3,1251.0,57.0,87.0,325.0,302.0,51.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Brayden Schenn,STL,"8,000,000","6,500,000",796.0,30.0,52.0,19.0,28.0,47.0,15.0,29.0,5.2,14.0,5.0,0.0,2.0,20.0,8.0,0.0,94.0,20.2,918.0,14.0,102.0,223.0,235.0,48.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Ryan Johansen,NSH,"8,000,000","8,000,000",416.0,29.0,65.0,17.0,34.0,51.0,4.0,51.0,4.8,10.0,7.0,0.0,3.0,22.0,12.0,0.0,92.0,18.5,1072.0,33.0,56.0,556.0,507.0,52.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Anze Kopitar,LAK,"8,000,000","10,000,000",476.0,34.0,71.0,18.0,41.0,59.0,-7.0,14.0,5.2,12.0,6.0,0.0,3.0,26.0,14.0,1.0,189.0,9.5,1478.0,63.0,61.0,779.0,577.0,57.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Brock Nelson,NYI,"8,000,000","6,000,000",640.0,30.0,59.0,32.0,17.0,49.0,1.0,33.0,6.4,23.0,9.0,0.0,5.0,14.0,3.0,0.0,140.0,22.9,1045.0,39.0,29.0,394.0,399.0,49.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Leon Draisaitl,EDM,"8,000,000","8,500,000",217.0,26.0,70.0,50.0,51.0,101.0,21.0,40.0,12.5,29.0,20.0,1.0,10.0,35.0,16.0,0.0,246.0,20.3,1586.0,23.0,43.0,788.0,680.0,53.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Victor Hedman,TBL,"8,000,000","7,875,000",369.0,31.0,68.0,19.0,47.0,66.0,17.0,30.0,11.0,14.0,5.0,0.0,6.0,25.0,22.0,0.0,181.0,10.5,1722.0,104.0,78.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Aleksander Barkov,FLA,"7,750,000","5,900,000",40.0,26.0,56.0,33.0,39.0,72.0,31.0,12.0,8.8,19.0,10.0,4.0,4.0,29.0,10.0,0.0,183.0,18.0,1143.0,37.0,45.0,614.0,474.0,56.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Mats Zuccarello,MIN,"7,500,000","6,000,000",976.0,34.0,60.0,20.0,49.0,69.0,20.0,20.0,7.0,14.0,6.0,0.0,1.0,30.0,19.0,0.0,131.0,15.3,1118.0,31.0,30.0,19.0,30.0,38.8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Jakub Voracek,CBJ,"7,500,000","8,250,000",940.0,32.0,66.0,5.0,44.0,49.0,-13.0,32.0,2.7,3.0,2.0,0.0,2.0,25.0,19.0,0.0,122.0,4.1,1139.0,24.0,23.0,5.0,27.0,15.6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Patrik Laine,CBJ,"7,500,000","7,500,000",504.0,23.0,50.0,25.0,26.0,51.0,-7.0,20.0,5.5,21.0,4.0,0.0,7.0,17.0,9.0,0.0,146.0,17.1,934.0,13.0,31.0,10.0,16.0,38.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Brock Boeser,VAN,"7,500,000","5,875,000",81.0,24.0,64.0,19.0,19.0,38.0,-7.0,18.0,3.5,9.0,10.0,0.0,4.0,12.0,6.0,1.0,177.0,10.7,1189.0,21.0,30.0,11.0,14.0,44.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
26,Kyle Connor,WPG,"7,500,000","7,142,857",168.0,25.0,67.0,41.0,41.0,82.0,3.0,4.0,9.6,31.0,7.0,3.0,7.0,24.0,17.0,0.0,283.0,14.5,1465.0,17.0,30.0,1.0,4.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
27,Charlie McAvoy,BOS,"7,300,000","4,900,000",585.0,24.0,65.0,8.0,39.0,47.0,18.0,54.0,8.4,3.0,4.0,1.0,3.0,22.0,17.0,0.0,131.0,6.1,1595.0,107.0,130.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Nico Hischier,NJD,"7,250,000","7,250,000",383.0,23.0,60.0,19.0,31.0,50.0,-6.0,17.0,4.7,15.0,4.0,0.0,1.0,21.0,8.0,2.0,129.0,14.7,1149.0,44.0,44.0,628.0,566.0,52.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Marc-Edouard Vlasic,SJS,"7,250,000","7,000,000",939.0,34.0,61.0,3.0,11.0,14.0,-15.0,14.0,2.0,3.0,0.0,0.0,0.0,11.0,0.0,0.0,51.0,5.9,932.0,68.0,35.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Kris Letang,PIT,"7,250,000","7,250,000",524.0,34.0,66.0,7.0,53.0,60.0,21.0,45.0,9.7,5.0,2.0,0.0,2.0,33.0,20.0,0.0,182.0,3.8,1697.0,110.0,145.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,William Karlsson,VEG,"7,100,000","5,900,000",448.0,29.0,56.0,10.0,16.0,26.0,-2.0,8.0,1.8,7.0,1.0,2.0,0.0,14.0,2.0,0.0,108.0,9.3,1035.0,37.0,31.0,443.0,410.0,51.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
32,Clayton Keller,ARI,"7,000,000","7,150,000",456.0,23.0,67.0,28.0,35.0,63.0,3.0,28.0,6.7,22.0,5.0,1.0,2.0,28.0,6.0,1.0,177.0,15.8,1349.0,31.0,17.0,29.0,39.0,42.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Jake Guentzel,PIT,"7,000,000","6,000,000",336.0,27.0,64.0,32.0,36.0,68.0,9.0,40.0,7.9,25.0,7.0,0.0,6.0,23.0,13.0,0.0,221.0,14.5,1274.0,35.0,60.0,13.0,11.0,54.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Mathew Barzal,NYI,"7,000,000","7,000,000",45.0,24.0,59.0,14.0,34.0,48.0,-2.0,14.0,4.5,13.0,1.0,0.0,1.0,21.0,13.0,0.0,135.0,10.4,1059.0,13.0,30.0,192.0,224.0,46.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Nathan MacKinnon,COL,"6,850,000","6,300,000",557.0,26.0,53.0,22.0,50.0,72.0,15.0,34.0,7.5,16.0,6.0,0.0,5.0,32.0,18.0,0.0,247.0,8.9,1119.0,35.0,48.0,305.0,358.0,46.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,David Pastrnak,BOS,"6,800,000","6,666,667",681.0,25.0,68.0,38.0,33.0,71.0,11.0,20.0,9.0,24.0,14.0,0.0,9.0,23.0,10.0,0.0,302.0,12.6,1268.0,12.0,63.0,6.0,13.0,31.6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Dylan Larkin,DET,"6,750,000","6,100,000",509.0,25.0,64.0,29.0,35.0,64.0,-9.0,43.0,6.7,23.0,6.0,0.0,4.0,28.0,7.0,0.0,190.0,15.3,1257.0,22.0,62.0,569.0,516.0,52.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Mark Scheifele,WPG,"6,750,000","6,125,000",795.0,28.0,64.0,26.0,39.0,65.0,-19.0,23.0,5.8,19.0,7.0,0.0,3.0,27.0,12.0,0.0,151.0,17.2,1367.0,47.0,35.0,412.0,403.0,50.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
39,Johnny Gaudreau,CGY,"6,750,000","6,750,000",300.0,28.0,68.0,32.0,60.0,92.0,48.0,22.0,11.8,26.0,6.0,0.0,8.0,45.0,15.0,0.0,223.0,14.3,1248.0,6.0,9.0,1.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Pierre-Luc Dubois,WPG,"6,650,000","5,000,000",223.0,23.0,69.0,25.0,26.0,51.0,1.0,98.0,5.2,12.0,13.0,0.0,5.0,24.0,2.0,0.0,203.0,12.3,1316.0,35.0,97.0,459.0,507.0,47.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
41,Nikolaj Ehlers,WPG,"6,500,000","6,000,000",238.0,25.0,50.0,22.0,19.0,41.0,10.0,16.0,4.9,20.0,2.0,0.0,2.0,15.0,4.0,0.0,197.0,11.2,913.0,20.0,30.0,1.0,1.0,50.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
42,Jean-Gabriel Pageau,NYI,"6,500,000","5,000,000",673.0,29.0,66.0,13.0,20.0,33.0,3.0,28.0,2.9,9.0,3.0,1.0,0.0,15.0,3.0,2.0,108.0,12.0,1157.0,41.0,142.0,619.0,499.0,55.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,Vincent Trocheck,CAR,"6,250,000","4,750,000",917.0,28.0,69.0,18.0,28.0,46.0,17.0,72.0,4.8,12.0,6.0,0.0,3.0,22.0,6.0,0.0,136.0,13.2,1242.0,40.0,156.0,590.0,502.0,54.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Cam Fowler,ANA,"6,250,000","6,500,000",282.0,30.0,67.0,8.0,28.0,36.0,-9.0,12.0,5.7,2.0,6.0,0.0,0.0,18.0,10.0,0.0,112.0,7.1,1624.0,100.0,33.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Jason Zucker,PIT,"6,250,000","5,500,000",977.0,30.0,32.0,6.0,8.0,14.0,3.0,10.0,1.2,4.0,2.0,0.0,0.0,8.0,0.0,0.0,89.0,6.7,488.0,15.0,52.0,4.0,10.0,28.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
